TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g001362,센티마르 글램핑 숙소 사전예약,0,4,,주식회사 떠나요,학암포길 43-12,,,,,4,195000,,4482535000.0
g_g001386,점심,1,4,,스텔라떡볶이 경남진주혁신점,경남 진주시 사들로 56,,3350087.0,4817013700.0,2023-06-03 11:45,1,8000,스텔라떡볶이 외6개,
g_g001575,아이장화,1,1,1208800767.0,쿠팡(주),서울 송파구 송파대로 570,서울 송파구 신천동 7-30,2005011.0,1171010200.0,2023-05-25 17:09,1,5999,핑크퐁 아동용 아기상어 장화 ,
g_g001612,간식과자,2,3,2548200199.0,하나로마트,전남 목포시 영산로 575,,3281095.0,4611015800.0,2023-06-03 10:07,1,8540,롯데)핵짱셔요콜라;롯데)크런키 빼빼로;허니버터칩;롯데)치토스매콤;해태)구운양파,
g_g001619,기름,0,2,,태평석유직영 에덴 주유소,,,,,,1,100000,,4157034000.0
g_g001621,김밥,1,1,,,,,,,2023-06-03 09:43,1,3500,[포장]원조김밥,
g_g001650,과일,0,4,,남평농협파머스마켓 강변점,강젼2길 5-3,,,,,4,20000,,4617025000.0
g_g001652,주유,1,1,1178526926.0,(유)오일패밀리용두우리주유소,광주 북구 빛고을대로 652,광주 북구 용두동 1043-16,2009010.0,2917013100.0,2023-06-08 14:21,1,20000,주유비,
g_g001662,식자재 및 음료,1,3,2618123567.0,주식회사 컬리,서울 강남구 테헤란로 133,,3122010.0,1168010100.0,2023-06-01 19:59,1,40439,(밀클레버)슈크림 미니붕어빵;(델리치오)와규 햄버거 패티;(아워홈)프리미엄 버거번(4개입);(크라제)뽀모도로 스파게티(2개입);펀나쵸 치즈,
g_g001662,식자재 및 음료,3,3,,(주)에스에스지닷컴,서울 강남구 테헤란로 231,서울 강남구 역삼동 676,3122010.0,1168010100.0,2023-06-01 00:00,1,46046,오뚜기 고기고명평양물냉면; SSG양파; 피죤 액츠 액체세제; 하루채소 가벼운샐러드; [피코크]원주진미양념치킨,
g_g001668,기차표,1,1,3148210024.0,한국철도공사,대전 동구 중앙로 240,,3164033.0,3011011300.0,2023-06-03 13:07,1,30400,기차표,
g_g001668,기차표,2,1,3148210024.0,한국철도공사,대전 동구 중앙로 240,,3164033.0,3011011300.0,2023-05-30 17:06,1,15900,기차표,
g_g001668,기차표,3,1,1148201186.0,전국고속버스운송사업조합,서울 서초구 신반포로 194,서울 서초구 반포동 19-4,3121017.0,1165010700.0,2023-05-30 17:08,3,18400,버스비,
