,userID,itemID,SIDO
2046,e004380,민오름,제주특별자치도
2047,e004381,힐링파크쑥섬쑥섬,전남
2048,e004384,밀리오레,서울
2049,e004391,힐링파크쑥섬쑥섬,전남
2050,e004392,미인폭포,강원
2051,e004392,민우당 서림,강원
2052,e004393,미유 애월점,제주특별자치도
2053,e004393,민오름,제주특별자치도
2054,e004395,힐링파크쑥섬쑥섬,전남
2055,e004398,미인폭포,강원
2056,e004398,민우당 서림,강원
2057,e004402,미인폭포,강원
2058,e004402,민우당 서림,강원
2059,e004409,미유 애월점,제주특별자치도
2060,e004409,민오름,제주특별자치도
2061,e004415,밀양강,경남
2062,e004416,힐링파크쑥섬쑥섬,전남
2063,e004417,미유 애월점,제주특별자치도
2064,e004417,민오름,제주특별자치도
2065,e004423,미유 애월점,제주특별자치도
2066,e004423,민오름,제주특별자치도
2067,e004429,미유 애월점,제주특별자치도
2068,e004429,민오름,제주특별자치도
2069,e004434,힐링파크쑥섬쑥섬,전남
2070,e004439,밀리오레,서울
2071,e004443,밀리오레,서울
2072,e004446,민우당 서림,강원특별자치도
2073,e004447,미인폭포,강원
2074,e004447,민우당 서림,강원
2075,e004448,미인폭포,강원
2076,e004448,민우당 서림,강원
2077,e004449,힐링파크쑥섬쑥섬,전남
2078,e004451,미유 애월점,제주특별자치도
2079,e004451,민오름,제주특별자치도
2080,e004457,힐링파크쑥섬쑥섬,전남
2081,e004459,힐링파크쑥섬쑥섬,전남
2082,e004463,미호,경기
2083,e004464,미인폭포,강원
2084,e004464,민우당 서림,강원
2085,e004466,미유 애월점,제주특별자치도
2086,e004466,민오름,제주특별자치도
2087,e004472,미즈노 씨네 트리하우스,전북
2088,e004473,미유 애월점,제주특별자치도
2089,e004473,민오름,제주특별자치도
2090,e004479,힐링파크쑥섬쑥섬,전남
2091,e004485,밀양강,경남
2092,e004488,힐링파크쑥섬쑥섬,전남
2093,e004489,미유 애월점,제주특별자치도
2094,e004489,민오름,제주특별자치도
2095,e004502,미유 애월점,제주특별자치도
2096,e004502,민오름,제주특별자치도
2097,e004503,미인폭포,강원
2098,e004503,민우당 서림,강원
2099,e004504,민락수변공원,부산
2100,e004504,민락 회 타운 시장,부산
2101,e004505,미유 애월점,제주특별자치도
2102,e004505,민오름,제주특별자치도
2103,e004506,미인폭포,강원
2104,e004506,민우당 서림,강원
2105,e004510,미유 애월점,제주특별자치도
2106,e004510,민오름,제주특별자치도
2107,e004511,미호,경기
2108,e004515,미인폭포,강원
2109,e004515,민우당 서림,강원
2110,e004520,힐링파크쑥섬쑥섬,전남
2111,e004525,힐링파크쑥섬쑥섬,전남
2112,e004533,미유 애월점,제주특별자치도
2113,e004533,민오름,제주특별자치도
2114,e004547,미인폭포,강원
2115,e004547,민우당 서림,강원
2116,e004548,미유 애월점,제주특별자치도
2117,e004548,민오름,제주특별자치도
2118,e004549,미인폭포,강원
2119,e004549,민우당 서림,강원
2120,e004551,미즈노 씨네 트리하우스,전북
2121,e004552,미인폭포,강원
2122,e004552,민우당 서림,강원
2123,e004557,미인폭포,강원
2124,e004557,민우당 서림,강원
2125,e004561,미인폭포,강원
2126,e004561,민우당 서림,강원
2127,e004563,힐링파크쑥섬쑥섬,전남
2128,e004565,미인폭포,강원
2129,e004565,민우당 서림,강원
2130,e004567,미인폭포,강원
2131,e004567,민우당 서림,강원
2132,e004573,미로 예술 원주 중앙시장,강원
2133,e004573,민우당 서림,강원
2134,e004587,민락수변공원,부산
2135,e004587,민락 회 타운 시장,부산
2136,e004588,힐링파크쑥섬쑥섬,전남
2137,e004589,미인폭포,강원
2138,e004589,민우당 서림,강원
2139,e004592,미유 애월점,제주특별자치도
2140,e004592,민오름,제주특별자치도
2141,e004596,미유 애월점,제주특별자치도
2142,e004596,민오름,제주특별자치도
