place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308230002,스타필드 하남,스타필드 하남,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308230003,오설록 티 뮤지엄,오설록 티뮤지엄,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308230004,아르떼 뮤지엄 제주,아르떼뮤지엄 제주,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308230005,속초해수욕장,속초해수욕장,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308230006,제주동문시장,제주동문시장,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308230007,대릉원,대릉원,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308230008,동궁과 월지,동궁과월지,경기도,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308230009,CU 담양 호텔 드 몽드점,CU 담양호텔드몽드점,제주특별자치도,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308230010,국립경주박물관, 신세계백화점 센텀시티점,대구광역시,식당/카페,실내,11,5,Summer,1;12;2;21;22
2308230011,하멜등대,하멜등대,대구광역시,식당/카페,실내,11,5,Summer,1;12;2;21;22
2308230012,격포해수욕장,격포해수욕장,제주특별자치도,자연관광지,실외,1,6,Summer,1;11;12;2;21
2308230013,공차 부산 해운대구청점,공차 부산해운대구청점,전라북도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,4,Summer,1;11;2;21;22
2308230014,꼴 목포 차 평거점,동궁과월지,경상남도,식당/카페,실내,11,7,Summer,1;2;22;24;26
2308240001,판포 포구,판포포구,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308240002,제주동문시장,제주동문시장,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308240003,강릉 동화 가든 본점,동화가든 본점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308240004,아르떼 뮤지엄 여수,아르떼뮤지엄 여수,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308240005,금오름,금오름,서울특별시,식당/카페,실내,11,6,Summer,1;10;11;12;13
